locationName,x,y
Sydney Harbor Bridge,-33.8523,151.21078
Barangaroo Reserve,-33.8572,151.2012
Opera House,-33.85678,151.21529
Pirrama Park,-33.8634,151.19253
Royal Botanic Garden,-33.86418,151.21657
Hyde Park,-33.87313,151.21127
Darling Harbor,-33.87487,151.20089
Chinese Garden of Friendship,-33.87652,151.20279
Wentworth Park,-33.87761,151.19347
Glebe Foreshore Parks,-33.87396,151.17626
Central Station,-33.88125,151.20647
UTS,-33.88323,151.20049
Chippendale Green,-33.88578,151.20007
Victoria Park,-33.88638,151.1928
USYD,-33.88857,151.18734
Prince Alfred Park,-33.88859,151.20444
Redfern Park,-33.89456,151.20609
Sydney Park,-33.90983,151.18516
Moore Park,-33.89525,151.22152
Centennial Park,-33.89216,151.23218